team_name,players
Arsenal,Cech;Gabriel;Koscielny;Monreal;Chamberlain;Ramsey;Xhaka;Gibbs;Giroud;Ozil;Sanchez
Chelsea,Courtois;Azpilicueta;David Luiz;Cahill;Moses;Fabregas;Matic;Alonso;Pedro;Costa;Hazard
Tottenham Hotspur,Lloris;Walker;Alderweireld;Vertonghen;Davies;Dier;Wanyama;Alli;Eriksen;Son;Kane
Liverpool,Mignolet;Clyne;Lovren;Matip;Milner;Can;Wijnaldum;Lucas;Origi;Coutinho;Firmino
Manchester City,Caballero;Fernandinho;Kompany;Otamendi;Clichy;Yaya Toure;Sane;Silva;De Bruyne;Sterling;Jesus
Manchester United,de Gea;Tuanzebe;Smalling;Jones;Darmian;Herrera;Carrick;Mata;Rooney;Martial;Mkhitaryan
Everton,Stekelenburg;Holgate;Jagielka;Williams;Baines;Gueye;Davies;Barry;Mirallas;Calvert-Lewin;Lukaku
West Bromwich Albion,Foster;Dawson;McAuley;Wilson;Evans;Fletcher;Brunt;Livermore;Field;McClean;Rondon
Stoke City,Butland;Johnson;Shawcross;Martins Indi;Muniesa;Whelan;Cameron;Shaqiri;Allen;Arnautovic;Diouf
West Ham United,Adrian;Reid;Fonte;Collins;Byram;Noble;Kouyate;Cresswell;Ayew;Calleri;Lanzini
Southampton,Forster;Cedric;Stephens;Yoshida;Bertrand;Oriol Romeu;Davis;Ward-Prowse;Tadic;Redmond;Gabbiadini
Burnley,Heaton;Lowton;Long;Tarkowski;Ward;Boyd;Westwood;Hendrick;Arfield;Vokes;Barnes
Watford,Gomes;Mariappa;Prodl;Kabasele;Amrabat;Capoue;Doucoure;Cleverley;Janmaat;Niang;Okaka
AFC Bournemouth,Boruc;Smith;Francis;Cook;Daniels;Arter;Cook;Pugh;Stanislas;King;Mousset
Swansea City,Fabianski;Naughton;Fernandez;Mawson;Olsson;Britton;Ki Sung-yueng;Carroll;Sigurdsson;Ayew;Llorente
Middlesbrough,Guzan;Fabio;Chambers;Gibson;Friend;de Roon;Clayton;Forshaw;Negredo;Traore;Downing
Leicester City,Schmeichel;Simpson;Benalouane;Huth;Fuchs;Mahrez;Ndidi;Drinkwater;Albrighton;Vardy;Okazaki
Hull City,Jakupovic;Elmohamady;Ranocchia;Maguire;Robertson;N'Diaye;Clucas;Markovic;Hernandez;Grosicki;Niasse
Crystal Palace,Hennessey;Ward;Kelly;Schlupp;van Aanholt;Milivojevic;McArthur;Puncheon;Zaha;Townsend;Christian Benteke
Sunderland,Pickford;Jones;Kone;O'Shea;Manquillo;Ndong;Denayer;Honeyman;Borini;Defoe;Anichebe